seeds: 919_339_981 562_444_630 3366_006_921 67_827_214 1496_677_366 101_156_779 4140_591_657 5_858_311 2566_406_753 71_724_353 2721_360_939 35_899_538 383_860_877 424_668_759 3649_554_897 442_182_562 2846_055_542 49_953_829 2988_140_126 256_306_471

seed-to-soil map:
627_617_777 1691_901_751 235_673_208
2425_244_517 2483_951_770 157_286_279
1339_042_890 1549_225_044 142_676_707
481_294_110 381_503_165 89_539_853
863_290_985 1007_717_708 39_103_521
570_833_963 324_719_351 56_783_814
3953_140_805 3714_151_881 155_523_737
902_394_506 1941_176_275 61_481_385
963_875_891 675_869_083 331_848_625
1922_840_702 1046_821_229 502_403_815
1481_719_597 1927_574_959 13_601_316
1820_040_264 573_068_645 102_800_438
1295_724_516 2641_238_049 43_318_374
0 2002_657_660 481_294_110
1495_320_913 0 324_719_351
2582_530_796 471_043_018 102_025_627
3714_151_881 3869_675_618 238_988_924

soil-to-fertilizer map:
1288_462_652 3191_328_122 309_853_381
3216_116_191 1774_097_401 151_922_673
1739_360_920 2276_789_875 44_162_492
220_941_763 1080_382_821 325_206_789
2416_141_229 3949_354_107 345_613_189
1783_523_412 765_967_805 117_439_234
2876_214_366 1010_215_130 70_167_691
2761_754_418 3142_514_478 48_813_644
3840_090_062 3541_735_844 44_042_641
2946_382_057 1417_076_798 106_871_618
3750_331_405 3501_181_503 29_948_437
1105_413_398 1405_589_610 11_487_188
2867_709_608 3585_778_485 8_504_758
3053_253_675 3594_283_243 162_862_516
15_940_804 0 90_040_993
2192_246_779 537_548_320 223_894_450
210_335_859 3531_129_940 10_605_904
546_148_552 2351_877_346 559_264_846
1598_316_033 883_407_039 110_119_908
2851_021_425 993_526_947 16_688_183
0 90_040_993 15_940_804
4134_281_688 3757_145_759 160_685_608
3718_808_665 3917_831_367 31_522_740
1116_900_586 2970_952_412 171_562_066
2810_568_062 210_335_859 40_453_363
3780_279_842 2911_142_192 59_810_220
1900_962_646 761_442_770 4_525_035
1905_487_681 250_789_222 286_759_098
3368_038_864 1926_020_074 350_769_801
1708_435_941 2320_952_367 30_924_979
3884_132_703 1523_948_416 250_148_985

fertilizer-to-water map:
2450_598_719 3993_777_626 178_688_420
990_387_307 2284_751_995 36_035_279
1479_519_873 1430_606_124 25_388_869
2928_263_979 2233_553_333 51_198_662
1825_810_145 1093_816_339 30_855_096
3131_362_216 1499_369_679 38_622_365
2629_287_139 1980_229_176 243_592_551
2979_462_641 1827_354_243 146_328_983
937_194_740 3188_384_434 9_817_881
2069_360_741 1973_683_226 975_358
1856_665_241 3781_082_126 212_695_500
642_830_371 945_238_436 148_577_903
4114_154_511 1124_671_435 95_554_104
3777_484_412 483_834_992 305_990_165
3264_059_981 2427_531_551 296_117_669
272_170_557 2723_649_220 370_659_814
262_438_951 2223_821_727 9_731_606
1615_429_560 1220_225_539 210_380_585
1028_349_507 226_445_100 83_554_339
4209_708_615 3198_202_315 85_258_681
3169_984_581 3094_309_034 94_075_400
4083_474_577 309_999_439 30_679_934
2872_879_690 115_495_593 55_384_289
2138_362_191 340_679_373 4_164_957
947_012_621 1455_994_993 43_374_686
791_408_274 1606_018_136 145_786_466
1026_422_586 1825_427_322 1_926_921
1578_531_462 789_825_157 8_469_921
3670_740_135 2320_787_274 106_744_277
2272_532_251 170_879_882 55_565_218
3125_791_624 1974_658_584 5_570_592
1111_903_846 3283_460_996 367_616_027
2070_336_099 1537_992_044 68_026_092
1504_908_742 1751_804_602 73_622_720
2142_527_148 3651_077_023 130_005_103
2328_097_469 4172_466_046 122_501_250
1587_001_383 344_844_330 28_428_177
3560_177_650 373_272_507 110_562_485
115_495_593 798_295_078 146_943_358

water-to-light map:
220_561_404 643_114_856 123_713_527
1087_373_312 4123_526_389 171_440_907
0 766_828_383 220_561_404
2907_464_644 3955_968_868 167_557_521
376_259_478 31_984_547 611_130_309
344_274_931 0 31_984_547
4209_967_986 1266_450_159 84_999_310
3234_177_104 1246_528_251 19_921_908
4075_482_989 2729_348_487 134_484_997
